station,start_from,end_in,trip_duration_start_from,trip_duration_end_in,month
Grove St PATH,3100,3548,269.0,266.0,Jan
Sip Ave,1493,1310,386.0,362.0,Jan
Newport Pkwy,641,661,509.0,492.0,Jan
Columbus Dr at Exchange Pl,1152,1155,296.0,307.0,Jan
City Hall,745,781,349.0,374.0,Jan
Columbus Drive,556,606,280.0,284.0,Jan
Harborside,1091,1093,323.0,321.0,Jan
Marin Light Rail,904,848,271.5,315.0,Jan
Newport PATH,989,953,382.0,370.0,Jan
Newark Ave,720,717,260.0,281.0,Jan
Van Vorst Park,528,461,311.5,291.0,Jan
Journal Square,393,325,399.0,356.0,Jan
Warren St,628,681,295.0,285.0,Jan
Hamilton Park,1327,1342,301.0,309.0,Jan
Oakland Ave,240,176,411.0,399.5,Jan
Fairmount Ave,253,215,381.0,370.0,Jan
McGinley Square,538,400,237.5,244.5,Jan
Hilltop,150,113,457.0,427.0,Jan
Baldwin at Montgomery,236,233,548.0,439.0,Jan
5 Corners Library,127,100,399.0,564.5,Jan
Riverview Park,118,102,719.0,362.0,Jan
Jersey & 3rd,616,594,197.0,201.0,Jan
Brunswick & 6th,776,651,326.0,331.0,Jan
Washington St,575,614,327.0,347.5,Jan
Monmouth and 6th,613,604,297.0,283.5,Jan
Manila & 1st,632,666,254.5,261.5,Jan
Dixon Mills,511,515,198.0,216.0,Jan
Jersey & 6th St,584,483,240.5,262.0,Jan
JC Medical Center,398,401,302.5,330.0,Jan
Brunswick St,529,528,294.0,290.0,Jan
Morris Canal,542,525,309.0,306.0,Jan
Christ Hospital,147,124,458.0,519.5,Jan
Paulus Hook,493,500,374.0,380.5,Jan
Grand St,359,405,265.0,338.0,Jan
Bergen Ave,275,283,374.0,361.0,Jan
Montgomery St,259,245,410.0,323.0,Jan
Astor Place,317,338,445.0,429.0,Jan
Essex Light Rail,398,472,322.5,371.5,Jan
Hoboken Ave at Monmouth St,150,189,533.5,514.0,Jan
York St,192,245,242.0,318.0,Jan
Lincoln Park,159,218,531.0,509.5,Jan
Glenwood Ave,102,88,403.0,304.0,Jan
Lafayette Park,212,201,563.0,586.0,Jan
Leonard Gordon Park,89,77,546.0,526.0,Jan
Pershing Field,235,247,558.0,509.0,Jan
Dey St,94,130,293.0,234.5,Jan
Jackson Square,76,61,999.5,781.0,Jan
Liberty Light Rail,474,509,548.5,607.0,Jan
Heights Elevator,140,107,757.5,1003.0,Jan
Communipaw & Berry Lane,91,106,742.0,589.5,Jan
Union St,53,63,836.0,685.0,Jan
Newport Pkwy,657,659,463.0,461.0,Feb
Manila & 1st,517,565,247.0,266.0,Feb
City Hall,683,708,383.0,388.0,Feb
Liberty Light Rail,461,485,583.0,622.0,Feb
Newport PATH,978,964,373.5,346.0,Feb
Dey St,114,132,330.5,255.5,Feb
Warren St,487,556,289.0,308.5,Feb
Hamilton Park,1202,1051,303.0,309.0,Feb
Van Vorst Park,432,398,283.0,319.0,Feb
Washington St,489,499,329.0,347.0,Feb
Harborside,1058,1087,298.0,323.0,Feb
Baldwin at Montgomery,257,220,494.0,511.0,Feb
Columbus Drive,500,522,285.0,305.0,Feb
Jersey & 6th St,516,391,221.0,254.0,Feb
Grand St,315,354,289.0,327.5,Feb
Newark Ave,631,648,263.0,266.0,Feb
Marin Light Rail,746,716,286.0,322.0,Feb
Oakland Ave,224,156,360.5,384.0,Feb
Monmouth and 6th,521,441,294.0,284.0,Feb
Fairmount Ave,244,201,381.0,380.0,Feb
McGinley Square,531,389,255.0,251.0,Feb
Lincoln Park,134,150,544.0,525.5,Feb
Brunswick St,508,459,282.5,304.0,Feb
Lafayette Park,194,209,592.0,640.0,Feb
Brunswick & 6th,654,494,318.0,324.0,Feb
Sip Ave,1402,1342,393.0,361.0,Feb
York St,204,223,266.0,321.0,Feb
JC Medical Center,317,326,330.0,368.5,Feb
Riverview Park,99,74,758.0,657.0,Feb
Christ Hospital,153,109,436.0,478.0,Feb
Pershing Field,209,181,492.0,514.0,Feb
Union St,59,83,758.0,699.0,Feb
Astor Place,279,285,431.0,414.0,Feb
Jersey & 3rd,526,528,202.0,219.5,Feb
Dixon Mills,464,404,204.5,220.0,Feb
Bergen Ave,274,240,381.5,366.0,Feb
Essex Light Rail,300,322,325.0,366.5,Feb
Grove St PATH,2328,3109,276.5,261.0,Feb
Leonard Gordon Park,77,71,503.0,547.0,Feb
Montgomery St,227,224,369.0,378.0,Feb
Morris Canal,494,479,299.0,322.0,Feb
Hoboken Ave at Monmouth St,146,171,497.5,472.0,Feb
Hilltop,142,105,479.0,514.0,Feb
Paulus Hook,440,442,370.5,358.5,Feb
Journal Square,370,362,378.0,362.5,Feb
Columbus Dr at Exchange Pl,922,1003,300.0,300.0,Feb
Jackson Square,100,76,843.0,711.0,Feb
5 Corners Library,109,94,407.0,666.5,Feb
Heights Elevator,99,80,806.0,1002.5,Feb
